title,link,description,bloggername,bloggerlink,postdate
배달의민족라이브경기떡집세상 맛있네,https://blog.naver.com/meesoda?Redirect=Log&logNo=222274297256,분명 간식으로 먹을려고 했는데 주식처럼 먹었네여 -_ㅠ 기분 좋게 손님들이 와도 내어두기 좋고 하나하나 개별 포장에다가경기떡집 이라고 새겨져 있어서 주면서도 이거 서울 3대 떡집이라고 알려줄 수 있어서... ,"게으름뱅이그녀의 패션,뷰티",https://blog.naver.com/meesoda,2021-03-13
망원동경기떡집: 맛난 이티떡 사왔어요,https://blog.naver.com/eloiz?Redirect=Log&logNo=221961445560,망원동경기떡집: 맛난 이티떡 사왔어요경기떡집 과 이티떡은 예전부터 알고는 있었어요 근데 이... 일반떡집의 떡들에 비해서는 좀 가격이 나가는 편이지요 입구에는 종류별로 시식을 할 수 있게... ,엘로이즈의 이루어짐.,https://blog.naver.com/eloiz,2020-05-13
 경기떡집이티떡 먹어봤다 쫠깃쫠깃과 달달한 앙금,https://blog.naver.com/dmsthgk?Redirect=Log&logNo=222534086998,언니가 유명한 떡집에서 맛있는거 시켰다고했는데경기떡집 의 이티떡이었다. (무슨.. 카톡 오픈채팅방 공구로 샀다고했는데 정말.. 별걸 다 알아~~ 나 빼고 다들 세상돌아가는거 넘 잘안다.) 쑥과 기본이 각각... ,핑퐁쿠쿠 라이프,https://blog.naver.com/dmsthgk,2021-10-12
" 경기떡집이티떡, 고구마단호박찰떡 (롯데백화점 본점)",https://blog.naver.com/lovekyong88?Redirect=Log&logNo=222248271000,망원동경기떡집 이라고 하기에 일단 메모는 해두었는데 망원까지 가기에는 진짜 너무 멀어서 일단... 언니경기떡집롯데백화점 명동에도 있다는데?라고 해서 무슨 소리야 내가 검색해 봤을 때는 없었는데... ,허니홍차한스푼♩,https://blog.naver.com/lovekyong88,2021-02-18
서울3대떡집 망원동경기떡집이티떡 명절 선물용 구매,https://blog.naver.com/ddooru?Redirect=Log&logNo=222240592891,"그래서 알게된 서울 유명 떡집이 바로경기떡집 이고, 여기서 판매하는 북한식 인절미가 이티떡이랍니다. 쑥이티떡/흰이티떡이에요. 울집 냥이 처음 보는 물건은 와서 검열하고 가셔야 함 킁킁 ㅎㅎ 귀여워라... ",이니의 블로그♪,https://blog.naver.com/ddooru,2021-02-11
별내 떡집경기떡집cafe 아이랑 가기 좋아요 : D,https://blog.naver.com/bichon-haru?Redirect=Log&logNo=221705126719,별내 떡집경기떡집 cafe 키즈룸이 있어 아기랑 가기 좋아요 : D 안녕하세요 애개육아중인 하루엄마 입니다 : D 요즘 저는 정말 고민이 많아요.. ㅋㅋ 세종에 살때는 아파트에 살았기 때문에 집앞에 바로 놀이터가... ,비숑프리제 하루와 나무,https://blog.naver.com/bichon-haru,2019-11-25
배민쇼핑라이브 첫방 구매 인증해요! Feat. 경기떡집 ,https://blog.naver.com/yeseung3007?Redirect=Log&logNo=222271710298,"이미 알만한 사람은 다 안다는경기떡집저는 처음 동생한테 들어서 알게 되었는데요, 서울 3대 떡집 중 하나라고 하더라고요. 정말 줄 서서 사 먹어야 한다고 하던데 지방인 저는 한번 먹어본 뒤로는 그 맛을... ",콩자언니의 Life Style,https://blog.naver.com/yeseung3007,2021-03-11
배달의민족라이브 첫방구매!경기떡집맛나네,https://blog.naver.com/ppeunimama?Redirect=Log&logNo=222275541021,배달의민족라이브로 주문한경기떡집 이 바로 도착!! 두근두근 :D 2대째 내려오는 서울 3대 떡집 중 하나로 불리며 줄 서서 많은 분들이 사 먹었는데 집에서 편하게 먹을 수 있게 되었다니 세상 좋음! 먹기 좋게... ,"쁘니롱 패션,뷰티,생활's story",https://blog.naver.com/ppeunimama,2021-03-14
배달의민족라이브에서 주문한경기떡집이티떡 너무 맛있잖아~,https://blog.naver.com/dhdmsdo79?Redirect=Log&logNo=222269652161,우리 가족 모두 떡을 좋아하기에 전국에 맛있는 떡집이 있다면 항상 주문해서 즐기는경기떡집 은 이번에 처음 알게 되었는데 요기가 서울 3대 떡집 중 하나로 불린다고 하네요. 주문 온 떡 하나 먹고~ 왜 3대... ,제시의 달빛부엌,https://blog.naver.com/dhdmsdo79,2021-03-13
배민쇼핑라이브로경기떡집첫방 배송 주문완료~!,https://blog.naver.com/hanstar_94?Redirect=Log&logNo=222271997838,첫 방송이경기떡집 이라니 어마어마해!! 정말 맛있는건 배민보다 잘 아는 사람 있을까요?.. 배민에서... 서울 3대 떡집 중 하나라 불리는 곳이라서 헐레뻘떡 구매했어용ㅋㅋ 쇼핑라이브에 들어가면 실시간으로... ,별밤의 뷰티&패션,https://blog.naver.com/hanstar_94,2021-03-11
[배달/떡집] 삼대떡집 중 하나라는경기떡집이티떡,https://blog.naver.com/hoisulhi?Redirect=Log&logNo=222277485152,서울 #삼대떡집 이런건 좀 들어봤는데 그냥 전국 삼대떡집중 하나인건가 싶은경기떡집 !!!! 이렇게 꼼꼼히 냉동 포장되어서 도착했다. 각각 #이티떡 #흑임자이티떡 #단호박이티떡 으로 구성되어 있는데 색깔로... ,맛선생 이설렘의 맛탐험,https://blog.naver.com/hoisulhi,2021-03-17
서울3대 떡집 망원동경기떡집 ,https://blog.naver.com/lovecocoa124?Redirect=Log&logNo=222189138985,"그러다 2017년 기사에 서울의 유서깊은 3대 떡집으로 낙원떡집, 비원떡집,경기떡집 을 거론한 것을 찾았다. 기사에서경기떡집 이 언급된 부분 발췌 내부가 요즘 생긴 떡집처럼 깔끔해서 몰랐는데 96년에... ",제목없음,https://blog.naver.com/lovecocoa124,2020-12-29
언제 먹어도 맛있는 망원동경기떡집이티떡!,https://blog.naver.com/soato42?Redirect=Log&logNo=222508160088,이번 포스팅은 이티떡으로 유명한 떡맛집 망원동경기떡집 !경기떡집위치 : 서울 마포구 동교로9길 24 영업시간 : 월~토 08:00~18:00 (일요일 휴무)경기떡집 은 망원역 2번 출구로 나와서 망원시장쪽으로 조금... ,잡동사니,https://blog.naver.com/soato42,2021-09-17
"[떡지순례/서울3대떡집]도수향, 압구정공주떡,경기떡집 ",https://blog.naver.com/kwonek1990?Redirect=Log&logNo=222053604540,"-이북식인절미가 유명한 도수향 -흑임자인절미가 유명한 압구정공주떡 -이티떡(이북식인절미)가 유명한경기떡집서울 몇대 빵집은 못돌아도 빵순이이자, 떡순이로 3대떡집정도는 거뜬하게 투어하고 왔다.... ",'美'완성블로그,https://blog.naver.com/kwonek1990,2020-08-07
"10월 마지막주 일상 (카페노티드,경기떡집 , 신토불이 떡볶이)",https://blog.naver.com/twink_sweet?Redirect=Log&logNo=222132055353,"해서 혀가 아플정도로 자극적인게 맘에 들었다 흐흐경기떡집이티떡!!! 망원시장의 유명한경기떡집 의 그 유명한 떡인데 이제서야 먹어봤다. 이번주 엥겔지수 오졌다리 ,,, 뭘 자꾸 사먹어,,, 암튼 이북식... ",The Foodie's Diary,https://blog.naver.com/twink_sweet,2020-10-31
콰이어커피+ 경기떡집 +에그슬럿+페이퍼마쉐+힐사이드테이블... ,https://blog.naver.com/mogura81?Redirect=Log&logNo=222473095746,"@ 키커피컴퍼니 남편이 좋아하는경기떡집 에 들러 이티떡이랑 약과도 샀다. 남편이 의정부 가서 장인한과 사다준다고 했는데, 당분간 현장 판매 안 하신다고 해서, 못 가고 있음 ^^ @경기떡집어느날의 혼커.... ",추억은 방울방울,https://blog.naver.com/mogura81,2021-08-17
[망원]경기 떡집 ,https://blog.naver.com/maru0380?Redirect=Log&logNo=221898270699,"운영하는 떡집으로 TV 방송에도 나왔다고... 작년에 갔을 때랑 떡 포장에 차이가 있었다. 간편하게 한입으로 즐길 수 있게 소포장되어 있음경기 떡집시그니처 메뉴라 할 수 있는 이티떡 - 인절미, 시루떡 등... ",느긋함의 미학 -,https://blog.naver.com/maru0380,2020-04-10
[서울] 망원동 맛집들 후기 / 소금집델리/비바쌀롱/ 경기떡집 ... ,https://blog.naver.com/rollingcat?Redirect=Log&logNo=222142436749," 경기떡집일요일휴무 평일주말 08:00~18:00 망원동엔 유명한 떡집이 3군데나 있다고 한다. 그중에 이티떡으로 유명한경기떡집 에 방문했다. 떡들이 정갈하게 포장이 되어있는데 한줄포장(3개입)은 2,000원에... ",.,https://blog.naver.com/rollingcat,2020-11-12
