title,link,description,bloggername,bloggerlink,postdate
성신여대 감자탕)태조감자국내돈내산 후기,https://blog.naver.com/plsatom16?Redirect=Log&logNo=222543998273, 태조감자국60년 전통 감자탕집 성신여대역 2번 출구에서 쭉 걸어가면 있는태조감자국태조감자국맛집이란 걸 들은 적이 있어서 기대가 됐다 처음 갔을 때 앞에 2-3팀 웨이팅이.. (나가면서 찍은 사진이라... ,ju_h06,https://blog.naver.com/plsatom16,2021-10-21
"[서울] 성신여대입구/성북구청 맛집,태조감자국 ",https://blog.naver.com/heungnam2?Redirect=Log&logNo=222403563681,누나 집 알아본다고 열심히 돌아다니다 밥먹어서 힘들어죽는줄 알았다내일 여행가면 맘놓고 술먹어야지 #성북구청맛집 #성북구맛집 #돈암동맛집 #성신여대맛집 #성신여대입구맛집 #감자탕맛집 # 태조감자국 ,오우~ 먹을 줄 아는 놈인가?,https://blog.naver.com/heungnam2,2021-06-19
성신여대 /태조감자국- 저렴한 감자탕 노포,https://blog.naver.com/kizaki56?Redirect=Log&logNo=221670778903,'진로이즈백' 요새 상당히 자주 마시는 듯 한데 여기서도 판매를 하고 있어서 이거로만 마셔주었어요 감자탕태조감자국 의 메인메뉴이자 단일 메뉴인 '감자탕'이 곧 테이블로 전달이 되었습니다. 수북하게... ,몽몽의 먹어야 사는 블로그,https://blog.naver.com/kizaki56,2019-11-09
"[내돈내먹] 성신여대 감자탕맛집,태조감자국찐후기!!!... ",https://blog.naver.com/omojin_?Redirect=Log&logNo=222530029514,헤헤 부지런히 포스팅해보게씁니다태조감자국서울 성북구 보문로34길 43 세학빌딩 (매일 10:00-01:00)태조감자국 은 무려 50년이 넘은 감자탕 맛집이에요! 사실 저는 어릴 때 저 포장마차?일 때 가봤었거든요... ,마음에 살찌우기,https://blog.naver.com/omojin_,2021-10-13
"성신여대 맛집, 전통깊고 맛난태조감자국 ",https://blog.naver.com/limsyriacus?Redirect=Log&logNo=222477637776,그랬을거에요 바깥에 웨이팅도 있는 것 같더라구요 왜 인기가 많은지 알거같았던 성신여대 맛집태조감자국이었습니다! 깔끔한 감자탕 땡기시는 분들께 추천드려요 전화번호 02-921-7667 영업시간 매일 10:00 - 01:00,먹고 마시고 살빼는 웹디자이너 도비,https://blog.naver.com/limsyriacus,2021-08-29
자극적이지 않고 깔끔한 감자탕 맛집 ::태조감자국 ,https://blog.naver.com/lovelyjiwone?Redirect=Log&logNo=221748725295,가진 감자탕!태조감자국 ! 원랜 여기가 아니라 건너편 돈암제일시장이 시작점인데 그 곳은 최근에 닫고 여기만 영업하는거 같았습니당태조감자국 은 역에서 걸어와도 멀지 않고 적당한 거리에... ,"여행과 일상, 모든 순간 :D",https://blog.naver.com/lovelyjiwone,2019-12-25
성신여대 돈암동맛집태조감자국/ 성북동카페 테라스가 예쁜... ,https://blog.naver.com/kh2b3_?Redirect=Log&logNo=222521912738,오빠는 감자탕러버다 성수동소문난감자탕을 대학교때 일주일에 한번은 꼭 먹었고 지금도 가끔 감자탕 먹고싶다라는 얘기를 종종함ㅋㅋㅋ 그래서 내가 가장 맛있게 먹었던 성신여대태조감자국 을 데려갔다... ,날래의 블로그,https://blog.naver.com/kh2b3_,2021-09-30
[성신여대 맛집] 저렴한 감자탕 맛집::태조감자국 ,https://blog.naver.com/blasheee?Redirect=Log&logNo=221710331721,"어차피 감자탕은 맛없기가 더 어려운 음식이니까 그냥 가까이에 있는 성신여대태조감자국 으로 고곡 밑반찬은 딱 요롷게 양파, 고추, 깍두기! 근데 보니까태조감자국 이 지금 3대째 하고 있는데 3대 사장님이... ",PIECES OF ME,https://blog.naver.com/blasheee,2019-11-17
성신여대 감자탕 맛집태조감자국내돈내산 솔직후기,https://blog.naver.com/seventmdghks?Redirect=Log&logNo=222518138054,여기태조감자국 이 정겨운게 뭐냐면 ㅋㅋ 메뉴 이름부터 좋타 최고다 무진장 혹시나 ㅋㅋㅋ 저는... 그리고 고기찍어먹는 소스는 와사비에 양념 섞은 다른 감자탕집들이랑 비슷비슷한 그런 소스입니다 크으... ,뚱화니의 휴식처,https://blog.naver.com/seventmdghks,2021-09-27
[성신여대입구]태조감자국 ,https://blog.naver.com/youngji810?Redirect=Log&logNo=222446947787,내.돈.나.먹- [내 돈으로 나 먹이기] 6월 말쯤 다녀온태조감자국사진 올리기리기입니다:) 언제쯤 어제 먹은 회 후기를 올릴 수 있는 걸까요? 도자기가 고등학교 때부터 다니던 감자탕 집이라고 해서 와봤습니다.... ,즐거움의 중간,https://blog.naver.com/youngji810,2021-07-27
