title,link,description,bloggername,bloggerlink,postdate
"전주한옥마을 길거리 음식 총집합 l 길거리야,교동고로케 ... ",https://blog.naver.com/thinkerbell2?Redirect=Log&logNo=222453960705,집에 가기 전에 몇 캔 사서 가려고 했는데 너무 더워서 깜빡함 ㅠ 흑교동 고로케역시나 유명한교동고로케 . 선물상자 통째로 사가는 손님들이 매우 많았다. 유명하다는 전주 비빔밥 고로케를 선택해서... ,린이네 일상 보고,https://blog.naver.com/thinkerbell2,2021-08-02
"광고X 전주한옥마을 먹거리 추천 ( 교동고로케 , 길거리야, 육전 등)",https://blog.naver.com/earth_rabbit?Redirect=Log&logNo=222529751894,"제 입맛에는 교동이 쪼끔 더 맞았다.. 라는 후기였습니다. 3.교동고로케전주비빔밥 고로케 3,000원 / 떡갈비고로케 3,000원 그리고 넘나 궁금했던 것!교동 고로케 . 전주한옥마을 먹거리 들은 죄다 모여있어서 한... ","From. 지구토끼, 달토끼에게 전하는 지구이야기",https://blog.naver.com/earth_rabbit,2021-10-07
다우랑/닭꼬치/문꼬치/ 교동고로케 /호떡/주차장 정보(내돈내산),https://blog.naver.com/lej9482?Redirect=Log&logNo=221779418794,"교동 마약육전 얼마전에 유튜브에서 봤던 와썹맨 박준형이 먹은 마약육전집도 있네요 ㅋㅋ 요건 별로... 전주비빔밥 고로케 바로 요기교동고로케 인데요, 전주비빔밥 고로케 예전에 맛있게 먹었던 기억이 나서... ",오느레일기❣,https://blog.naver.com/lej9482,2020-01-20
"(다우랑만두,교동고로케 , 한옥문꼬치, 교동육전, 모주... ",https://blog.naver.com/wlssk1230?Redirect=Log&logNo=222542547984,다음은교동고로케 를 사러 왔어요. 고로케도 종류가 엄청 많네요. 다른 길거리 음식들도 포장해 갈... 퐈이야~ 불쇼 구경하고 가세요~~ 다음은 교동 육전이에요. 여기도 줄 서서 먹는 맛집! 한옥마을에 육전... ,★,https://blog.naver.com/wlssk1230,2021-10-20
"전주한옥마을 길거리음식 투어 '다우랑, 마약육전,교동고로케 ... ",https://blog.naver.com/sesv1004?Redirect=Log&logNo=222303012085,"나온 교동마약육전이랑 개성비당마약육전 두 곳을 볼 수 있었는데, 밖에 앉을 자리가 더 많이... 나눠먹은교동고로케 ! 난 전주비빔밥 고로케도 맛있었다 :) 아래는 1박 2일 전주여행 포스팅이니 참고하시길... ",DAILY PLANET,https://blog.naver.com/sesv1004,2021-04-08
[전주여행] 전주한옥마을 길거리음식 후기( 교동고로케 ... ,https://blog.naver.com/dlwodus92?Redirect=Log&logNo=221945143119,"여러 길거리 음식 중에서 가장 먼저 찾아간 곳은 비빔밥고로케가 있다고 하는교동고로케 였습니다. 비빔밥 고로케라는 말을 듣고서는 비빔밥이면 비빔밥이고, 고로케면 고로케지 비빔밥 고로케는 또 무슨... ",소소한여유,https://blog.naver.com/dlwodus92,2020-05-05
"내돈내산 추천 리스트 (길거리야,교동고로케 , 육전, 모주)",https://blog.naver.com/gfewa?Redirect=Log&logNo=222461530483, 교동 고로케바게트버거 바로 옆집 ㅋㅋㅋㅋㅋㅋ 전주비빔밥 고로케인데 고로케안에 밥이 들어있어요... 교동 육전전주 모주 교동 육전 2인분 구매했는데 소고기로요! 맛있음! ㅎㅎㅎㅎㅎㅎ 아주 맛있음... ,별로그,https://blog.naver.com/gfewa,2021-08-08
먹거리 _오짱. 치즈왕닭꼬치. 딸기탕후루.교동고로케 ,https://blog.naver.com/sniper98?Redirect=Log&logNo=221697040514,비빔밥고로케라는 말에 발걸음을 멈추었던교동고로케 .. 전주왔는데 그래도 전주비빔밥은 안되더라도 전주비빔밥 고로케라도 먹자며 들러본 곳입니다. 물론 그 외에도 찹쌀도넛과 고구마 쑥찹쌀 등등 제법... ,대구맛집블로거 맛소클짱 혁이의 맛여행,https://blog.naver.com/sniper98,2019-11-04
전주 한옥마을 길거리음식 :: 길거리야교동고로케 ,https://blog.naver.com/minhae9191?Redirect=Log&logNo=222109524915,"전주비빔밥 2, 햄 주먹밥 고로케 1 주문 완료!교동고로케 의 속은 아주 알찼다- 받자마자 묵직함이 남달랐기 때문 : ) 고로케 속에 비빔밥이 들어가 있다는 건 꽤나 신선했는데, 맛은 아주 좋았다 ♡ 하나만... ","미네쿠의 세계여행, TRAVELOG",https://blog.naver.com/minhae9191,2020-10-08
"[전주 맛집] 전주 한옥마을교동고로케 , 전주 고로케 맛집",https://blog.naver.com/jinni615?Redirect=Log&logNo=222405833270,"[전주 맛집] 전주 한옥마을교동고로케 , 전주 고로케 맛집 이번에 전주 한옥마을 갔을 때, 전주비빔밥고로케로 유명한 전주 맛집인교동고로케 를 찾아갔다. 전주 경기전 맞은편 쪽에 위치하고 있어서 누구나... ",Jinni’s daily life,https://blog.naver.com/jinni615,2021-06-22
