title,link,description,bloggername,bloggerlink,postdate
"영천공설시장 먹거리, 곰탕골목포항할매집한우소머리곰탕... ",https://blog.naver.com/bambi_0202?Redirect=Log&logNo=222203262291,영천시장 먹거리 영천곰탕골목포항할매집진국인 한우소머리곰탕 먹고 맛있어서 택배주문까지 ! 대구... 유명하다는포항할매집 으로 고고씽 엄청나게 커다란 가마솥에서 곰탕끓이는 수증기가 장난아니게... ,멍하니바라보기 △,https://blog.naver.com/bambi_0202,2021-01-10
[경북 영천시 식당] 영천시장 내포항할매집 의 소머리곰탕 강추,https://blog.naver.com/musemuse70?Redirect=Log&logNo=221769975238," 포항할매집 은 1~4호점까지 있다. 우리는 1호점으로 들어갔다. 손님들로 정신없는 가운데 직원들도 정신없이 왔다갔다 하는데, 할매집의 쥔장인 할매도 나서서 주문을 받는다. 시장 안 허름한 식당에 이렇게... ",문화산악인의 미주알고주알,https://blog.naver.com/musemuse70,2020-01-13
3代가 69년을 이어 온 소머리곰탕 노포식당 ... /포항할매집 ,https://blog.naver.com/pakyemin?Redirect=Log&logNo=221721785412,2대 며느리 이순덕씨에 이어 3남매가 3대로 대를 이어가는 소머리곰탕 노포식당 -포항할매집 ... 수년째 마음에만 두었던 포항할매의 곰탕 국물부터 맛을 보아주었습니다 아~~ 두말이 필요 없습니다!! 소머리 곰탕... ,"혜인아빠, 浪玖의 블로그 / 浪玖精舍",https://blog.naver.com/pakyemin,2019-11-29
경북영천[ 포항할매집 ] - 영천시장의소머리곰탕으로 유명한... ,https://blog.naver.com/tema1215?Redirect=Log&logNo=222488562045,금호하양할매곰탕집으로만 가야겠습니다. https://m.blog.naver.com/tema1215/197776693 . 개인적인 취향 주관적인 입맛에 따라 쓴글입니다 입맛이 다른건 엄마가 다르기때문입니다. . 경북영천[ 포항할매집 ]... ,<계수나무의 식탐천국>,https://blog.naver.com/tema1215,2021-08-30
영천 맛집/포항 할매집에서 소머리국밥 호로록!수요미식회 출현,https://blog.naver.com/govlekgml8?Redirect=Log&logNo=221873166156,"영천의 대표 맛집포항할매집영천할매집이 아니고,포항할매집 이네요 ㅎ 신랑이 소머리국밥이... 왜 다든 포항할매 하는지 알겠어요 그런데 옆집도 이만큼 맛있을 것 같은 너낌...ㅋㅋ 안 가봐서 모르겠어요... ",clara,https://blog.naver.com/govlekgml8,2020-03-26
"영천공설시장 곰탕 골목 맛집,포항할매집 곰탕",https://blog.naver.com/zaerac?Redirect=Log&logNo=222067011927," 포항 할매집곰탕 입구 이 골목과 그 주변에는 몇 개의 곰탕집이 있는데 사장님에게 물어보니 5개의... 각자 맛이 고만고만하거나, 각자 개성이 있거나 하겠지만 그중 제일 알려진 집이 바로 ' 포항할매집곰탕... ",traveling boy,https://blog.naver.com/zaerac,2020-09-05
 포항할매집 곰탕 - 집에서 뜨끈한 곰탕한그릇!,https://blog.naver.com/rinoayuna?Redirect=Log&logNo=222520137047, 포항할매집 곰탕을 시켜보기로했습니다. 가격은 곰탕이 기본 5인분에 2만원이더라구요. 가격이 한번... # 포항할매집 곰탕 #곰탕포장 #가성비집반찬 #곰탕포장전문 #곰탕택배전문 #아이있는집반찬추천... ,"적게 소비하고, 조금만 갖되, 가진것은 최고의 것으로",https://blog.naver.com/rinoayuna,2021-09-30
영천 맛집 영천 국밥 맛집 영천 시장포항할매집 ,https://blog.naver.com/shkim6502?Redirect=Log&logNo=222446333480,킴스가이드 입니다 오늘 소개해드릴 식당은 영천 시장 내 위치한포항할매집입니다 네비 주소로... 대구나 포항에도 곰탕이나 국밥 맛집들이 많은데 맛집이라고 하기엔 좀 아쉬운 맛입니다 더워서 그런가... ,킴스가이드,https://blog.naver.com/shkim6502,2021-07-26
영천 곰탕골목포항할매집 곰탕,https://blog.naver.com/neung8?Redirect=Log&logNo=222186773608,우시장에서 가져온 다양한 재료로 곰탕을 푹 끓여 내는데 곰탕 골목 입구에 자리한포항할매집 곰탕이... 대통령도 다녀갔다는 ' 포항할매집 곰탕'으로 갔는데 가게는 그리 크지 않았지만 그래도 여러 명이 먹을 수... ,세상 맛보기,https://blog.naver.com/neung8,2020-12-27
"[영천, 공설시장] 포항할매집 ",https://blog.naver.com/njeena?Redirect=Log&logNo=222519852529,TV 출연이 많은 영천 시장의포항 할매집저도 와 봤습니다. 시장 2층에 있는 시장공영주차장에 주차를 하고 내려오니포항할매집 에 바로 있습니다. 매월 15일이 휴무인데 요번주는 추석연휴가 낀주라 쉬지 않고... ,KIM-JI' LOG BOOK,https://blog.naver.com/njeena,2021-09-28
영천 공설시장 곰탕골목 소머리 곰탕 맛집포항할매집 ,https://blog.naver.com/ujnoeyh?Redirect=Log&logNo=222357249009," 포항할매집 입니다! 방송에도 엄청 많이 나왔고 방문해 보니 노무현 대통령, 경기도지사 김문수 등 여러 유명인들 사진도 붙어 있더라고요. 먹어 보니 왜 유명한지 알 수 있는 맛이었어요포항할매집리뷰... ",그 해 여름,https://blog.naver.com/ujnoeyh,2021-05-19
