title,link,description,bloggername,bloggerlink,postdate
"[제주] 신혼여행_ 장인의집 , 이익새양과점, 우무, 호텔샌드... ",https://blog.naver.com/pierrelumir?Redirect=Log&logNo=222536003055," 장인의집강아지들 원래 집 하나씩 다 따로 있어서 '와 너네는 제주도에 집도 있구나 좋겠다' 했던 기억이 있는데 왜 셋이 같이 있어? 작년에 온장인의집 은 굉장히 잘나가는 느낌이었다면, 이번에 다시 온... ",어느 멋진 날,https://blog.naver.com/pierrelumir,2021-10-13
2주만에 받은 제주장인의집4색만두 리얼후기,https://blog.naver.com/talk442?Redirect=Log&logNo=222394470055,"지난번 참피디님 영상을 보고 주문한 제주장인의집4색만두 만두덕후다보니 지나칠 수 없어서... 제주장인의집4색만두 1팩당 7개 가격 : 제주흑돼지만두 6,900원 제주김치만두 6,900원 제주전복만두 10,900원... ",비키의 꼼꼼리뷰:),https://blog.naver.com/talk442,2021-06-11
칠돈가 / 베케 / ABC베이커리 /장인의집/ 아이엠더그라스,https://blog.naver.com/sojinkim21?Redirect=Log&logNo=222458726156,"제주의 만두전골 맛집으론 '면뽑는선생만두빚는아내'가 있는데, 새로운 곳에 도전해보고자 ' 장인의집 '을 찾았다. 문어만두, 전복만두 등 이색만두가 들어가는 전골집인데, 굳이 해산물이 잔뜩 들어간 전골을... ",spontaneous acts diary,https://blog.naver.com/sojinkim21,2021-08-06
[제주]장인의 집 _소갈비 해물 버섯 전골_탐나 4색 만두,https://blog.naver.com/kh914028?Redirect=Log&logNo=222039655539,점심은 # 장인의집이었다. 해물만두전골~^^ 대기가 2시간이 넘을 때도 되는 유명한 맛집이라고 한다....장인의 집메뉴는 이러하다. 우리는 이왕 온 김에 소갈비 해물 버섯 전골~ 갈비탕도 따로 하는 집이니... ,그라미,https://blog.naver.com/kh914028,2020-07-23
"제주 애월 식당, 만두 맛집이래서 갔다 해장국에 반한장인의집 ",https://blog.naver.com/prince0198?Redirect=Log&logNo=222409158416,있는장인의집 이라고 하더라고요 만두전골이 맛있다고 소문난 제주 애월 맛집인데요 큰 도로에 있어... 저희는 3명이서 방문했는데요 대표 메뉴라고 하니까 버섯 만두전골 2인과 장인의 해장국을 주문했어요... ,윌리와 별나라여행,https://blog.naver.com/prince0198,2021-06-24
제주 애월장인의집수제만두전골 맛집,https://blog.naver.com/dlquf1213?Redirect=Log&logNo=222463214257,"맛집장인의집포스팅입니다 제주장인의집네이버★ 4.38/5점 전화 0507-1313-1610 주소 제주 제주시 애월읍 애월로19길31 (애월리 399-1) 영업시간 매일 10:00 ~ 23:00 마지막주문 21:00 단체석, 주차, 포장, 배달, 예약... ",Yiseul world :D,https://blog.naver.com/dlquf1213,2021-08-09
"제주장인의집 , 해물 만두전골 진한국물까지 일품",https://blog.naver.com/alwjd1572?Redirect=Log&logNo=222058701671,"제주장인의집 , 해물 만두전골 진한국물까지 일품 하트시그널3에 나온 집으로 굉장히 유명한 이 곳~ 첫... 제주장인의집#만두전골 #해물만두전골 #사골육수 ▶ ***-***-**** ▶ 제주 제주시 애월읍 애월로19길 31... ",러블리한 일상이야기 :),https://blog.naver.com/alwjd1572,2020-08-12
[제주도 애월] 우연히 만난 만두전골 찐맛집 ‘ 장인의집 ’,https://blog.naver.com/kiki2170?Redirect=Log&logNo=222529918816,바로 ‘ 장인의 집 ’ 이라는 곳입니다. 사실 저긴 뭐지 하고 들어갔는데 입구에 들어가자 마자 아! 여긴 맛집이구나! 라고 알아차렸어요 댕댕이들이 맞이해줍니다 정말 지나가다가 들른집이라서 입장하고 깜짝... ,지나가는 행복한 순간들 in jeju,https://blog.naver.com/kiki2170,2021-10-07
 장인의집만두전골 제주 애월 맛집 인정!,https://blog.naver.com/crom234?Redirect=Log&logNo=222435767903, 장인의집 이라는 곳으로 직접만든 수제만두가 유명한 곳으로 실제 맛을 보니 아쉬운점이 더러 있지만 애월맛집으로 소개하여도 손색이 없는 곳이다. 사실 이장인의집 이라는 곳은 애월항까지 오는 동안에도... ,피터팬 캠핑:차박 캠핑으로 떠나는 여행!,https://blog.naver.com/crom234,2021-07-18
제주장인의집수제 만두전골 리얼후기 (ft 하트시그널 제주도... ,https://blog.naver.com/hiro92?Redirect=Log&logNo=222046567640,제주장인의집하트시그널 제주도 맛집수요미식회 방영 4색 수제 만두전골 먹어보았지! 오늘은... 제주장인의집 은 애월 쪽에 위치하고 있고요! 외관만 보면 가정집을 개조한 것처럼 보여서 제주스러운... ,"류꽃, 꽃피는 어느 날",https://blog.naver.com/hiro92,2020-07-30
"제주 애월장인의집 , 내돈내산 만두전골 후기",https://blog.naver.com/wjddbwls8008?Redirect=Log&logNo=222502525170,"안녕하세요~ 제주장인의집후기 날리겠습니다 ㅎㅎ장인의집 에 저는 이번에 처음 가봤거든요, 일단 인트로를 말씀드리면, 제가 첫날 혼자 여행하면서 버스를 너무 많이 타서 버스비가 혹시나 많이 나올까봐... ",Hello Elena :),https://blog.naver.com/wjddbwls8008,2021-09-16
[제품리뷰/식품리뷰] 제주장인의 집4색만두,https://blog.naver.com/sunkyung90?Redirect=Log&logNo=222386129536,제주장인의 집4색만두 제주 해풍에 말려 더욱 쫄깃한 수제 4색 만두장인의 집수제 만두!장인의 집수제 만두는 얼마 전 참피디 영상을 보다가 알게 되었는 데 알록달록한 것이 너무 맛있어 보여서 바~로... ,스크,https://blog.naver.com/sunkyung90,2021-06-05
수요미식회 제주 인생만두장인의집 ,https://blog.naver.com/ngs7026?Redirect=Log&logNo=221768388325,"집 주변에 있었으면 퇴근할때마다 포장해서 갔을듯 ... 만두피 색깔은 분홍색이고, 만두의 크기는... 정말 만족스러웠던 수요미식회 제주 출연한장인의집 ! 괜히 이름이 장인이 아니에요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ... ","Sunny place, Here :D ♡",https://blog.naver.com/ngs7026,2020-01-12
"제주도 가볼만한곳 월정 맛집장인의집 , 노형동 맛집 돈사무소",https://blog.naver.com/sierenn?Redirect=Log&logNo=222395197735,"제주도 가볼만한곳 월정 맛집장인의집 , 노형동 맛집 돈사무소 깐고니여행기 아 나 진짜 너무나 다시...장인의 집월정점 제주시 구좌읍 월정3길 60 영업시간 매일 10시 - 23시 0507-1351-7809 원래장인의집 은 애월에... ",깐고니 여행기⭐,https://blog.naver.com/sierenn,2021-06-12
제주 애월장인의집만두전골,https://blog.naver.com/everything91?Redirect=Log&logNo=222255575526,만두 장인이 빚어낸 만두인가 봄. 애월장인의집 은 애월항 근처에 위치해 있는데 여기 도착해서 또 생각했다. 제주도의 뜨는 맛집들은 위치가 중요한 것이 아니구나.... ㅋ 애월 항구 근처라지만 살짝 골목... ,★한량이의 배낭메고 지구정복★,https://blog.naver.com/everything91,2021-02-26
[제주맛집] 진한 국물이 끝내주는 만두전골_ 장인의집 ,https://blog.naver.com/freesunmi?Redirect=Log&logNo=222537997689,진한 국물이 끝내주는 만두전골_ 장인의집가장 처음 소개해 드릴 곳은 만두전골집인장인의 집 이에요! 사실장인의집 은 유명 유튜버가 방문해서 먹는 영상을 보고 꽂혀있긴 했었는데 마침 1일차에 머물려고... ,까꿍이와 짱이네♡,https://blog.naver.com/freesunmi,2021-10-15
월정리 맛집 만두전골장인의집 ,https://blog.naver.com/tvplayer?Redirect=Log&logNo=222496033394,"오늘은 월정리 해수욕장의 맛집으로 소문난장인의 집 에 다녀왔습니다. 입구부터 장인의 냄새가 납니다. 저도 제주맛집, 월정리맛집 등으로 검색해서 찾아간 집이지만 정확히 말하자면 제주에서 시작한... ",064웹 공식블로그,https://blog.naver.com/tvplayer,2021-09-05
제주장인의집수요미식회 만두전골 얼큰이로!,https://blog.naver.com/purity_k?Redirect=Log&logNo=221796716965,제주장인의집 은 수요미식회에도 나왔던 만두전골로 유명한 곳인데요. 위치는 제주 제주시 애월읍... 레알 가마솥으로 사골육수를 끓이고있었던 제주장인의집 은 할머니집에 온듯한 정취를 느낄 수 있었던... ,오늘 뭐먹즤?,https://blog.naver.com/purity_k,2020-02-05
