title,link,description,bloggername,bloggerlink,postdate
"[국내 청담]쉐이크쉑 청담점 , 쉑쉑버거 청담 먹어보기",https://blog.naver.com/mys2k?Redirect=Log&logNo=222483883649," 쉐이크 가 없었던 기억 ㅎㅎ 먹었나? 아무튼 술도 꽤나 먹고 갔어가지고 기억이 잘,,, 그때 진짜 재밌었는데 ㅠㅠㅠ벌써 2년 전,,,나 맨날 꼰대발언만,,하는 거같ㄷ,,,,그때가 좋았지;;;;ㅎㅎㅎㅎ 아무튼청담점 에도... ",Jessy♥,https://blog.naver.com/mys2k,2021-08-25
쉑쉑버거쉐이크쉑치킨바이트 @shakeshack청담점 ,https://blog.naver.com/cateyejh?Redirect=Log&logNo=222252116061,"맛있는 아이스크림 디저트를 원한다면청담점 에서만 맛볼 수 있는 청담 327도 추천한다 함께라서 더 맛있는 페어링 메뉴 쉑버거, 스모크쉑 버거, 치즈 프라이, 바닐라쉐이크 , 소다 S와 신메뉴인 치킨바이트... ","Hello, stranger! :)",https://blog.naver.com/cateyejh,2021-02-22
압구정로데오 도산대로 맛집 :쉐이크쉑쉑쉑버거청담점 ,https://blog.naver.com/woini2015?Redirect=Log&logNo=222480631769,"압구정로데오역 맛집쉐이크쉑 청담점서울 강남구 도산대로 327 (신사동) 1층 평일 11:00 ~ 22:00 주말 10:30 ~ 22:00 토요일, 일요일 30분 조기 오픈 이전에 했던 나의 사랑 쉐이크쉑 포스팅 쉑쉑버거 청담점은 처음... ",이 지금,https://blog.naver.com/woini2015,2021-08-23
청담 맛집 추천 -쉐이크쉑 버거청담점사진 및 후기,https://blog.naver.com/yoojinhwang9?Redirect=Log&logNo=222256009352,레이첼입니다’ 오늘은 쉐이크쉑버거 청담점 후기를 갖고 왔어용 청담 CGV바로 옆에 1층에 위치 하고...쉐이크쉑 청담점 에서 찍은 브이로그 보세요 좋아요랑 구독하면 좋은 일 생겨요 그럼 이만! 감사합니다... ,레이첼에너지 RachelEnergy,https://blog.naver.com/yoojinhwang9,2021-02-25
[청담] 맛있는 버거와 쉐이크 도산대로 맛집쉐이크쉑 청담점 ,https://blog.naver.com/lovely_peace?Redirect=Log&logNo=222308089496,매장쉐이크쉑 청담점 에는 쉑 스튜디오라고 4컷 사진을 찍을 수 있는 포토부스도 있다 창가쪽에... 이것도 다 추억맛있는 버거와 맥주 ! 쉐이크쉑에서 쉐이크만 먹지 말고 맥주도 한 잔씩 드셔보세유 ㅎ,"Eat, Drink and Be Merry",https://blog.naver.com/lovely_peace,2021-04-13
쉑쉑버거쉐이크쉑 청담점방문 (스웨그 넘치는 뉴요커의 햄버거),https://blog.naver.com/pyuna2004?Redirect=Log&logNo=222431588731,"오늘의 포스팅은 SHAKE SHACK 청담점 방문기 쉑쉑버거 메뉴, 추천쉐이크쉑 청담점쉐이크쉑 핫한... 쉐이크쉑은 미국에서 아주 핫한 뉴욕 햄버거집, 밀크쉐이크에 감자튀김 찍어먹어야 하는 햄버거집으로... ",유기농소녀와 살찐토끼,https://blog.naver.com/pyuna2004,2021-07-14
' 쉐이크쉑 청담점 ' 쉑쉑버거 포장 후 한강에서 즐기기♥ (+주차),https://blog.naver.com/tldrld93?Redirect=Log&logNo=222473379658,ㅋㅋㅋ 쉐이크쉑 메뉴판입니다! 최근에 막걸리쉐이크랑 서울불고기버거가 새로 나왔다고 해요.... 이상 쉐이스쉑 청담점 후기였습니다! #쉐이크쉑 # 쉐이크쉑청담점#압구정맛집 #압구정로데오맛집 #한강... ,싱깅이블로그,https://blog.naver.com/tldrld93,2021-08-17
선물 받은 쉑쉑 버거 세트 :쉐이크쉑 청담점/ 메뉴판,https://blog.naver.com/rubyjuju0620?Redirect=Log&logNo=222488846499,"버거 청담점에서 기프티콘으로 2인 세트 교환. 쉐이크 쉑 메뉴판 선물 받은 쉑쉑 세트 구성은 쉑버거 2개, 감자튀김, 쉐이크, 콜라 쉐이크 쉑 메뉴판쉐이크쉑 청담점 은 이전에는 가끔 찾았지만, 요새는... ",dr.장 이야기,https://blog.naver.com/rubyjuju0620,2021-10-04
 쉐이크쉑 청담점 에서 신메뉴 치킨 바이트와 쉑쉑버거 / 주차정보,https://blog.naver.com/sunpower621?Redirect=Log&logNo=222264806738,매일 11:00-22:00 02-510-5217 서울 강남구 도산대로 327쉐이크쉑 청담점정식 명칭은 쉐이크쉑인데 일반적으로 쉑쉑버거로 불리는 곳이죠 오랜만에 쉑쉑 흔들어보기로 하고 쉑쉑버거 청담점에 들렸습니다.... ,엉터리 식객,https://blog.naver.com/sunpower621,2021-03-05
서울청담점쉐이크 쉑/ 내돈내먹,https://blog.naver.com/back6700?Redirect=Log&logNo=222411912078,안녕하세요 오늘은 얼마 전쉐이크 쉑 청담점 에 방문한 후기를 가져왔습니당배민.요기요 등 배달도... 저희는 ✔️쉑버거 ✔️치즈프라이 ✔️클래식 쉐이크-바닐라 ✔️사이다.콜라 이렇게 주문했어요... ,이것저것,https://blog.naver.com/back6700,2021-06-27
