title,link,description,bloggername,bloggerlink,postdate
익선동 카페 이국적인 느낌청수당 ,https://blog.naver.com/mpburberry?Redirect=Log&logNo=222312709815,익선동 카페청수당요즘 핫한 사진 찍기 도심 속 한옥 분위기에 이국적인 감성까지 물씬 풍겼던 곳... 띄던청수당 을 가보게 되었는데요 분위기가 좋아 사진찍고 차만 마시고 왔는데도 힐링 되는 기분을 느끼고... ,Mr.Lee 블로그,https://blog.naver.com/mpburberry,2021-04-16
[신사] 일본풍의청수당 갤러리 + 힐링되는 뷰를 가진 안테룸... ,https://blog.naver.com/domhm?Redirect=Log&logNo=222513959829,"연남동에도 있으나 이번에 가본곳은 신사 가로수길에 위치하고 있는청수당갤러리 가로수길 대로변이 아닌 작은 한블럭 뒷쪽에 위치하고 있는청수당갤러리는 주택가 사이에 위치하고 있었는데, 들어가는... ",멋대로 기록하기.,https://blog.naver.com/domhm,2021-09-23
"광교 카페청수당해림과 아쿠아플라넷, 도심에서 바다 즐기기",https://blog.naver.com/nowwegom?Redirect=Log&logNo=222528891308,있는청수당 이 광교에도 있다기에 궁금해서 가보지 않을 수가 없었다. 난 가로수길 지점에만 가보았었는데 광교 지점에는 무려 아쿠아리움이 있어 더욱 새로웠다.청수당해림 주소: 경기 수원시 영통구... ,먹기 위해 사는 위장 환자,https://blog.naver.com/nowwegom,2021-10-06
연남동 핫플 신상 카페청수당 공명 솔직후기,https://blog.naver.com/lovely_227?Redirect=Log&logNo=222543275780,연남동 카페청수당 공명 안녕하세요. 전부터 익선동 카페청수당가고싶다 했었는데 익선동청수당정말 핫플이라 사람 어마어마하다고 해서 엄두를 못냈거든요. 서울사는 우리보다 서울소식에 빠삭한... ,이써니의 일상다이어리:),https://blog.naver.com/lovely_227,2021-10-21
익선동 카페청수당계란커피 맛보기,https://blog.naver.com/unique1028?Redirect=Log&logNo=222325322100,"익선동 카페청수당 (淸水堂, Cheongsudang) 지난 주말 중구쪽에 결혼식이 있어서.. 결혼식 갔다가 그냥 집에... 오늘은 익선동에서 가장 핫한 카페청수당 을 포스팅해볼께요 :) 진짜 익선동 한옥거리를 가다보면... ",줄리다이어리♥,https://blog.naver.com/unique1028,2021-04-27
익선동 카페청수당 ,https://blog.naver.com/beplus2015?Redirect=Log&logNo=222132245115,"#익선동카페 # 청수당요즘 익선동에서 엄청 핫한 카페청수당 ... 저번에 백스트리트피자 먹구, 디저트로청수당다녀온 후귀이~~ 요즘들어.. 인스타그램에서 엄청 자주 보이던 익선동카페청수당 ! 인테리어가... ",리아님의 블로그,https://blog.naver.com/beplus2015,2020-11-01
핫플 샤브샤브 맛집_ 온천집 매직패스익선동 카페청수당 ,https://blog.naver.com/silver7493?Redirect=Log&logNo=222368094187,"일본 교토에 온 것만 같은 익선동 핫플 샤브샤브 맛집, 온천집 예약 • 매직패스익선동 카페청수당 ... 카페청수당 은 하나의 코스로 일본 미식여행 왔다 생각하고 찾기 좋았다. 떠날수 없다면 이렇게라도... ","은나라 _ 중독은 그리움을 낳는다 ""Photo Travel""",https://blog.naver.com/silver7493,2021-05-26
"익선동 핫플( 청수당 , 송암여관)",https://blog.naver.com/loveitsuji?Redirect=Log&logNo=222065343079,#익선동핫플 # 청수당#송암여관 안녕하세요. 오늘은 친구들이랑 같이 익선동 핫플에 들려보았어요.... 저녁먹고 가고싶었던청수당이라는 카페에요. 우선 앞에 입구 컷 부터 사람들이 몰려서 사진찍는다는 곳인... ,돌아온 수잔,https://blog.naver.com/loveitsuji,2020-08-19
"익선동 카페청수당 , 교토 느낌 대나무숲의 이국적인 분위기!",https://blog.naver.com/kyoonsun7?Redirect=Log&logNo=222494247242,익선동 카페청수당추억의 사진첩을 뒤적이다 골라본 오늘 포스팅은 작년 이 맘때 갔었던 익선동 핫플!... 카페청수당 은 들어가는 입구부터 나즈막하게 물이 흐르는 돌길을 건너서 들어가야해요. 대나무갓의... ,"Hello, Delicious",https://blog.naver.com/kyoonsun7,2021-09-03
가로수길 예쁜 카페 - 가고 싶었던청수당ㅠㅠ 골인~ 다녀 온... ,https://blog.naver.com/kem8732?Redirect=Log&logNo=222508225530,오늘의 포스팅 내용은 저~~~번부터 익선동에 있는 핫플레이스청수당 이라는 곳에 가고 싶었었는데 (입구컷 찍고 싶어서영 ㅜㅜ) 광교 갤러리아청수당가보고 더 가고 싶었는데 마땅한 기회? 음.. 항상 다른... ,Lucky CHAENA Day,https://blog.naver.com/kem8732,2021-09-16
