title,link,description,bloggername,bloggerlink,postdate
곤지암 [최미자소머리국밥 ] / 허영만의백반기행맛집,https://blog.naver.com/borami97?Redirect=Log&logNo=222502898649,바로 소머리국밥 소머리국밥을 여러번 먹었었지만 제일 유명한 곤지암의 소머리국밥은 여태 못 먹어봤다.. 생각난 김에 곤지암에서 가장 유명하다는최미자소머리국밥으로 갔다..최미자소머리국밥031-764... ,앵두공주의 소소한 일상,https://blog.naver.com/borami97,2021-09-12
[광주 곤지암 대박 맛집]최미자 소머리국밥- 대기 1시간은... ,https://blog.naver.com/yhra97?Redirect=Log&logNo=222538262675,"전날 만났던 막내이모의 강력 추천으로 광주 곤지암의최미자 소머리국밥 을 남편, 작은아들과... 정말 최미자 할머니 자손이 엄청 부러워지는 순간이었다 ㅎㅎ. 1시간의 기다림 끝에 영접한 소머리국밥은 내... ",20대 두 아들 엄마의 척척생활기,https://blog.naver.com/yhra97,2021-10-15
"곤지암 화담숲 근처최미자 소머리국밥 , 유명한 경기도 광주... ",https://blog.naver.com/junmin120?Redirect=Log&logNo=221949041616,"이렇게 한 끼 잘 먹은최미자 소머리 국밥 의 가격은 1인분에 11,000원. 의자에도, 뚝배기에도, 영수증에도 박혀있는 '최미자' 여사의 성함은 누구나 좋아할 수밖에 없는 맛으로 이제 소머리국밥의 고유한... ",화사랑 이야기,https://blog.naver.com/junmin120,2020-05-06
[곤지암 맛집]최미자소머리국밥 . 얼마나 맛있길레 식객들이... ,https://blog.naver.com/man9855?Redirect=Log&logNo=222412575593,그래서 오늘은 소머리국밥을 먹고자 핑계거리를 만들어 봤습니다. 오전에 주변에 있는 호수트레킹 2건을 마치고 최미자네로 예고없이 쳐들어(?) 갑니다.최미자소머리국밥경기도 광주시 곤지암읍 도척로 58... ,우보천리(牛步千里),https://blog.naver.com/man9855,2021-06-28
 최미자 소머리국밥여기 대체 왜 유명한가요?,https://blog.naver.com/bluekei9?Redirect=Log&logNo=222307270197,들어가는 입구에는 이렇게 큼지막한 사진과 연혁이 간략하게 나와있었고 저에게 있어서 소머리국밥이... 오래 지나지 않아 여기최미자 소머리 국밥대표 메뉴인 국밥이 나왔는데 밥은 안에 들어가 있는 상태로... ,케이의 블로그,https://blog.naver.com/bluekei9,2021-04-12
곤지암 맛집 -최미자소머리국밥 ,https://blog.naver.com/lovely_fat?Redirect=Log&logNo=221744974430,"제외하고 국밥과 수육으로 단순하게 구분되지요, 저번에도 다음에 방문하면 꼭 육고기를 한접시... 먹었지만~최미자 소머리국밥 은 유난히 양이 많아서 평범한 식사량을 갖고 계시면 배가 빵빵하게 될 거예요... ",나홀로 즐기는 삶,https://blog.naver.com/lovely_fat,2019-12-21
"곤지암최미자소머리국밥: TV방영 허영만의백반기행,생생정보통",https://blog.naver.com/jinjin3923?Redirect=Log&logNo=222532602943,곤지암맛집최미자소머리국밥저는 소머리국밥은 곤지암 구일가든을 가서 먹었지만 TV에 나온김에... 우려낸 소머리 국밥의 참맛 최 미 자 곤지암에서 처음으로 소머리국밥집을 열고 30여년의 그 참맛을... ,이쌤의 흔한취미 ♥,https://blog.naver.com/jinjin3923,2021-10-10
(곤지암)최미자 소머리국밥 ,https://blog.naver.com/mywayispa?Redirect=Log&logNo=222100243121,"유명한최미자 소머리국밥 이다. 이 집을 다닌 지 상당히 오래 되었다. 언제부터 다녔는지 기억도 잘 나지 않는데, 첫 만남에서부터 내게 소머리국밥의 표준을 뇌리에 각인시킨 곳이다. 최미자 여사가 국밥... ",호모 아카데미쿠스,https://blog.naver.com/mywayispa,2020-09-26
곤자암 찐맛집 -최미자소머리국밥1관 사진 및 후기,https://blog.naver.com/yoojinhwang9?Redirect=Log&logNo=222341090646, 최미자소머리국밥후기를 갖고 왔습니다최미자소머리국밥 은 엄청 유명한 곤지암의 명물이더라고요... 1981년부터 지금까지 쭉 사랑을 받고 있는 곤지암의 맛집입니다 아마도 여기가 진짜 원조 소머리국밥이... ,레이첼에너지 RachelEnergy,https://blog.naver.com/yoojinhwang9,2021-05-07
[광주맛집] 원조최미자 소머리국밥1관대기시간,https://blog.naver.com/gkghghfod?Redirect=Log&logNo=222137931751,열심히 광주에서 생일파티 여행하고 다음날 해장하기 위해 맛집 찾아보다가최미자 소머리국밥 이... 있었음 소머리국밥 11000원 4개 특 사이즈 15000원 2개 수육 소 35000원 1개 내스타일이였던 양념장 국밥에... ,하호랭,https://blog.naver.com/gkghghfod,2020-11-07
