title,link,description,bloggername,bloggerlink,postdate
종종 생각나는명동교자본점 칼국수,https://blog.naver.com/nowwegom?Redirect=Log&logNo=222389917511," 명동교자본점 메뉴: 칼국수 9,000원 주소: 서울 중구 명동10길 29 번호: 02-776-5348 영업시간: 매일 10:30 - 20:30 설, 추석 당일 휴무 기타: 포장 가능. 주차장이 따로 없어서 남산동공영주차장 이용 권장 무려 1966년부터... ",먹기 위해 사는 위장 환자,https://blog.naver.com/nowwegom,2021-06-08
"이영자 명동칼국수,명동교자웨이팅 없이 먹어본 후기",https://blog.naver.com/skylights2?Redirect=Log&logNo=222444296650,"# 명동교자#명동칼국수 는 선불제! 주문을 하면, 그 자리에서 직원이 카드를 가지고 결제를 해줍니다 저랑 남편은 이미 가자고 정했을 때부터 뭘 먹을지 정해놓고 갔기 때문에 주문하는데 시간이 오래... ",달콤한 초코탕 블로그,https://blog.naver.com/skylights2,2021-07-24
오랜만에 맛본명동교자칼국수와 명동의 추억.,https://blog.naver.com/queen227?Redirect=Log&logNo=222462574377,현충일명동교자분점 모습 1966년 창업한명동교자본점은 4호선 명동역 8번 출구 나와 골목길185미터 지점이 있고 브레이크 타임은 본점과 지점 중 한곳만 운영한다고 합니다. 휴무일은 설날과 추석날 당일만.... ,야생화의 일기,https://blog.naver.com/queen227,2021-08-09
 명동교자 본점 완당칼국수 오랜만에 방문한 후기,https://blog.naver.com/bloodymodern?Redirect=Log&logNo=222306542961,저는 그냥 리뷰하다가 꽂히면 맛있는데 있으면 추천합니다. 왜 우리의 시간과 돈은 소중하니까 이왕 가서 먹을꺼 실패하면 아쉽잖아요. # 명동교자 본점 #완당칼국수 #맛녀석칼국수 #문세윤칼국수 #명동칼국수,김토끼와 아이들,https://blog.naver.com/bloodymodern,2021-04-11
 명동교자본점 : 이영자 명동 칼국수와 만두 드디어 먹어봄,https://blog.naver.com/effy0424?Redirect=Log&logNo=222392395857,혼밥하기도 좋고ㅎㅎ 진작 와볼걸 싶었던명동교자본점 리뷰는 여기까지! #이영자명동칼국수 #전참시이영자칼국수 #명동칼국수 #명동맛집 # 명동교자# 명동교자#미슐랭맛집 #칼국수맛집 #미슐랭빕그루망,에피의 날마다 좋은하루,https://blog.naver.com/effy0424,2021-06-10
" 명동교자미슐랭 가이드 명동 칼국수 맛집, 국물부터 감동",https://blog.naver.com/solepersona?Redirect=Log&logNo=222519032356,"재료, 음식, 청결, 친절, 서비스에 대한 자신감일테다. # 명동교자#명동칼국수 #완탕칼국수 #겉절이김치 # 명동교자 분점 # 명동교자 본점 #미슐랭가이드2021 #미쉐린가이드2021 #명동맛집 #칼국수맛집 #남산산책 #자운티",JauntyClub 자운티클럽,https://blog.naver.com/solepersona,2021-09-28
"클랩피자,명동교자 , 광교 앨리웨이, 아우어 베이커리, 망향... ",https://blog.naver.com/doowon35?Redirect=Log&logNo=222540638185,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 여전히 맛은 있더라구요 명동 자체에 사람은 없는데..명동교자 에는 사람이 바글바글...? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 만두의 육즙은 여전했고, 다시 먹어보니 약간 홍콩식?... ",두식이블로그,https://blog.naver.com/doowon35,2021-10-18
 명동교자본점 구수하고 진한 인생 칼국수 맛집,https://blog.naver.com/fjqm2676?Redirect=Log&logNo=222535511745,조합이에요 명동에 위치한명동교자본점 위치는 명동역 8번출구에서 도보로 3-4분 이내 거리에 위치해... 칼국수 위에는 얇은 만두피로 빚어진 만두교자 4개가 숑숑 들어가 있구요 위에는 불맛 가득 풍기는... ,동그란 마음,https://blog.naver.com/fjqm2676,2021-10-13
"20210910 강스마미와 서울행, 명동교자본점 칼국수 만두... ",https://blog.naver.com/matsu2?Redirect=Log&logNo=222504646218,"혹시 명동 가실 일 있음 명동교자들러보세요.추억의 맛!!! 그래서인지 연령대가 참 다양해요. 사실 뭘 좀 알아보려고 간건데,그 이야기는 따로 할께요. 다시 서울역 향해 출발!코로나 영향으로 빈 점포도 많고... ",미카와 리락메이(mika&rilakmay)의 블로그,https://blog.naver.com/matsu2,2021-09-13
명동맛집명동교자칼국수 만두 비빔국수 꿀맛!,https://blog.naver.com/jmmmlp?Redirect=Log&logNo=222518253062,미쉐린 가이드에도 매년 소개될 정도로 변함없이 맛있으니 명동에 오면 한 번 잡숴봐! # 명동교자#본점 #칼국수 #만두 #비빔국수 #명동가볼만한곳 #미쉐린가이드 이 포스팅은 쿠팡 파트너스 활동의 일환으로... ,옆집 남자의 은밀한 식생활,https://blog.naver.com/jmmmlp,2021-10-04
 명동교자언제가도 그 맛 그대로 불맛 나는 칼국수,https://blog.naver.com/sasaae?Redirect=Log&logNo=222522340107,명동에 가면 의례 먹어야 할 거 같은 나의 시그니처 메뉴 되시겠다명동교자칼국수에서 빠질 수 없는 게 마늘맛 강한 김치. 면발에 김치 하나를 올려서 먹어야 제맛이다. 대신에 나중에 입에서 뿜어져 나오는... ,최고와 최선의 미학...,https://blog.naver.com/sasaae,2021-09-30
어린이와 가볼만한곳 + 명동 우표박물관/ 명동교자 ... ,https://blog.naver.com/a_heejin?Redirect=Log&logNo=222488375432,오늘의 데이트가 즐겁고 좋았다며 내일부터 또 열심히 미션을 달성해내겠다며 의지력 뿜뿜한 나의 채채 오늘의 하루도 알찼음이 분명 #어린이와가볼만한곳 #박물관 #명동 #우표박물관 # 명동교자#고양이놀이터,이제는 달콤한 휴식의 시간.,https://blog.naver.com/a_heejin,2021-08-30
칼국수 먹으러 명동가요 ~ 명동교자 ,https://blog.naver.com/mimi030630?Redirect=Log&logNo=222479137030,먹으러 명동 가는이유~명동교자 입니다 예전엔 줄서서 기다리다 들어갔어야 했는데 밖에는 줄이 안서 있네요 안에는 체온 체크하고 QR 인증 하느라 시간이 지체된 거 말고는 대기 없이 그냥 들어갔어요 서울... ,행복한 노란장미의 손맛,https://blog.naver.com/mimi030630,2021-08-21
 명동교자본점 칼국수와 만두 그리고 비빔국수 까지 모두... ,https://blog.naver.com/dydals111?Redirect=Log&logNo=222380839581,"받은 곳인 만큼 맛도 좋았고 이렇게 긴 시간동안 자리를 잡고 있을수 있는 이유를 알수 있었습니다.명동교자본점 위치 : 서울 중구 명동 10길 29 영업 : 매일 10:30 ~ 20:30 메뉴 : 칼국수 9,0 / 만두 10,0 / 비빔국수 9,0",가장 가까이 다가서서 본 추억,https://blog.naver.com/dydals111,2021-06-02
 명동교자솔직 후기,https://blog.naver.com/naturlq?Redirect=Log&logNo=222439823088, 명동교자공식 홈페이지 다녀온지는 꽤 되었는데 이제 정리해서 글을 올리네요. 6월 중순경 평일 점심에 방문했습니다.명동교자 는 한 골목에 분점과 본점이 있습니다. 저는 분점을 갔습니다. 더운날씨에도... ,집에서 즐기는 키덜트 공간 - 집키,https://blog.naver.com/naturlq,2021-07-21
 명동교자본점 / 칼국수 만두,https://blog.naver.com/phjsunflower?Redirect=Log&logNo=222270764894,■명동교자본점 위치 : 명동 엠플라자 뒷편 주소 : 서울 중구 명동2가 25-2 신주소 : 서울 중구 명동10길 29 전화번호 : 02.776.5348 주차 : 불가 음주 : 불가 포장 : 가능 단체 : 문의 예약 : 문의 영업시간 : 10 : 30 - 20... ,꽃씨의 맛집 이야기♬,https://blog.naver.com/phjsunflower,2021-06-24
오랜만에 찾아간명동교자칼국수 본점,https://blog.naver.com/focus4322?Redirect=Log&logNo=222533037488,"없고, 명동 메인 거리에 있는 노점들도 안 보이고 1층에 상점은 들 대부분 비어있고, 여기 오니깐 지금 경기가 어떤지에 대해서 피부로 느끼게 되더라,, 그래도명동교자칼국수 본점은 정상적으로 영업을 하는데... ",유니지니이야기,https://blog.naver.com/focus4322,2021-10-10
"명동명동교자본점 ㅣ 전참시 이영자 칼국수, 만두 ♥",https://blog.naver.com/jinmichu?Redirect=Log&logNo=222417802458,"명동명동교자 는 이미 유명한 맛집이지만 최근에 전참시 이영자 칼국수 집으로 방영되면서 또 한번 핫해진 맛집인 것 같네요 ㅎㅎㅎ 저도 어렸을 때 엄마따라 왔던 기억도 나고,, 1966년 창업이라고 하니 진짜... ",진미츄 일상 기록,https://blog.naver.com/jinmichu,2021-07-02
강남역 강남교자 본점-명동교자 가 그리울 때 찾게 되는 칼국숫집,https://blog.naver.com/sagak815?Redirect=Log&logNo=222139730428,며칠 동안명동교자칼국수에 대한 생각에 머리에서 계속 떠올랐습니다. 하지만 명동까지 나가기는 귀찮고 해서 그나마 비슷한 맛의 칼국수를 맛볼 수 있는 강남교자 본점을 찾았습니다. 1층에 있는... ,사각사마는 뭘 먹고 사나,https://blog.naver.com/sagak815,2021-09-07
한 여름 더위에도 생각나는「 명동교자 」 칼국수,https://blog.naver.com/takpaperdall?Redirect=Log&logNo=222456764908,"사실 회현 지하상가를 지나오면서도 느꼈지만, 명동엔 한 집 걸러 임대를 써 붙이고, 영업을 하지... 「 명동교자 」의 메뉴는 늘 한결같다. 우리 메뉴도 늘 한결같고, 가장 중요한 건 맛도 늘 한결같다는 거다.... ",김영선 닥종이,https://blog.naver.com/takpaperdall,2021-08-04
"[서울 명동] 명동교자분점 -칼국수,비빔국수",https://blog.naver.com/showmethe486?Redirect=Log&logNo=222520509890,"있는명동교자 , (구)명동칼국수 기대가 너무 컸던 걸까 아니면 술 먹고 방문해서 그랬던 걸까 칼국수도 헤비하고 김치 맛도 자극적이라 같이 먹으면 이건 뭐 나트륨대환장 파티 맛이 없다는 건 아닌데 개취에... ",I'M SO HOT,https://blog.naver.com/showmethe486,2021-09-29
 명동교자본점 / 칼국수 안좋아하는 사람도 맛있는 곳,https://blog.naver.com/752104?Redirect=Log&logNo=222462052618,"명동, 을지로입구 맛집명동교자칼국수, 만두 내돈내산 후기 드디어 가봤다! 명동에서 젤 유명한 맛집명동교자사실 맛집탐방에 환장하는 사람으로서 그동안 안가본 이유는 내가 칼국수를 안좋아하기... ",행복해지기,https://blog.naver.com/752104,2021-08-10
"[먹부림] 국물맛이 남다른 칼국수,명동교자 ",https://blog.naver.com/104119?Redirect=Log&logNo=222460607469,"먹부림 국물맛이 남다른 칼국수,명동교자이름은명동 ” 교자 ”이지만, 사실 칼국수 먹으러 가는 곳 ㅋㅋ 언제 처음 갔는 지 기억은 잘 안나지만.. 암튼 나에게도 꽤나 오래된 맛집이다. 명동이 원래도... ",♬ 놀 고 먹 는 S u n n y ♪,https://blog.naver.com/104119,2021-08-07
서울 명동 칼국수 맛집 -명동교자본점,https://blog.naver.com/mirz02?Redirect=Log&logNo=222524101307,그럼에도명동교자 만큼은 명동에 오면 혼자라도 가서 먹고 오는 곳이다. 이날도 촬영 대기시간을 틈타서 혼밥을 하고 왔다. 대기 줄어 없는 모습이 낯설지만 실내 인테리어나 분위기는 예전이나 지금이나... ,아이니쥬,https://blog.naver.com/mirz02,2021-10-02
"명동 맛집, 명동 혼밥:명동교자본점에서 비빔국수 한 그릇~",https://blog.naver.com/jenahj?Redirect=Log&logNo=222510679206,오랜만에 간 명동~~ 몇-년 전에 엄마 아빠랑 가서 칼국수 먹고 충무김밥 포장해서 온 적이 있는데 갑자기 생각나서 근처 지나가는 김에명동교자들러봤어요. 마침 점심도 안 먹었기도 하고... 그 때는 한 블럭 더... ,고양이의 아담한 블로그세상♡,https://blog.naver.com/jenahj,2021-09-19
[ 명동교자 본점] 이영자 명동칼국수 명동 가면 꼭 먹어야 하는... ,https://blog.naver.com/heebomi?Redirect=Log&logNo=222533636158,하는 맛집 소개하려구요 원래도 유명했지만 이영자 님이 전참시에서 맛있게 드셔주셔서 더 유명해진명동교자(구) 명동칼국수 명동 차 없는 거리 ⚠️ 명동은 저 어렸을 때 정말 발 딛기 힘들 정도로 서울... ,히보미의 어느 멋진 날 ♩,https://blog.naver.com/heebomi,2021-10-11
사골칼국수명동교자부럽지않은 칼국수~~,https://blog.naver.com/fencebang?Redirect=Log&logNo=222526193942,명동 근무처에서 한남동 집까지 한정류장인데 긴터널 지나는 한코스지만 그터널을 지나려면... 그때명동교자 의 김치가 구세주였어요 입덧이 심할때 얼큰한 김치와 함께 몇젓가락이라도 먹을수있었던... ,울타리의 행복마당,https://blog.naver.com/fencebang,2021-10-05
토론토명동교자칼국수 맛집 푸짐하게 즐겼어요 2차는 맥주,https://blog.naver.com/blogdanielland?Redirect=Log&logNo=222503893333,"사골 육수 베이스의 칼국수인데, 서울의명동교자칼국수 그리고 대전의 50년 맛집 신도 칼국수와 상당히 비슷한 컨셉입니다. 칼국수 2개, 김치만두와 고기만두 반반 교자, 그리고 칼국수 사리 추가... ",메이플대니얼의 요리공간 다니엘랜드,https://blog.naver.com/blogdanielland,2021-09-13
추억의 맛집명동교자 (이영자추천),https://blog.naver.com/twinj2767?Redirect=Log&logNo=222463381271,진짜 진짜 서울에 처음 왔을 때부터 알았던 명동의 찐맛집명동교자 ~ 몇 달 전부터 여기서 나오는 마늘향 가득한 김치가 먹고 싶었는데요~ 막상 가려면 깜빡하고 다른 곳을 가거나 배달 시켜 먹더라고요~ ㅠㅠ... ,세계 곳곳 맛집❤️ 멋집❤️ 일상공유,https://blog.naver.com/twinj2767,2021-08-09
"211002~03 서울1 :명동교자 , 서대문형무소역사관, 냐항in안국",https://blog.naver.com/ironbelly?Redirect=Log&logNo=222529756505,짐 맡기고 친구만나러 고고 점심은명동교자 ! 너무 유명한 집이라 한번쯤 먹어보고 싶었다. 명동역 8번 출구로 나가면 된다. 명동이 이리 한산해지다니 하지만 맛집엔 바글바글 그래도 회전율이 좋아서 그렇게... ,고양이지침서,https://blog.naver.com/ironbelly,2021-10-07
" 명동교자- 이영자맛집, 전지적참견시점, 칼국수, 만두",https://blog.naver.com/sseoldy1106?Redirect=Log&logNo=222429809220,❛ ᴗ ❛.) 왜 주는지 바로 알게되었다 괜히 이영자 맛집이 아닌명동교자사실 명동 갈때마다 먹어야지 먹어야지 하다가 이번에 처음 먹어봤는데 엄청 맛있었다 (면의 익힘 정도는 살짝 아쉬움) 다음에는... ,RING A BELL,https://blog.naver.com/sseoldy1106,2021-07-13
"명동 맛집 투어 ㅡ명동교자, 틈새라면 주말 상황",https://blog.naver.com/hj861031?Redirect=Log&logNo=222541477679, 명동교자의 자랑 명동칼국수 (애칭임ㅋㅋ) 저 얇은피 만두도 은근 매력적이고 저 고명이 다하는듯 불맛 가득한데 진하고 아주 고소한듯 감칠맛이 보통아님 사실 고명 + 국물이 다 한다고 볼수있고 면은... ,엄먹방,https://blog.naver.com/hj861031,2021-10-19
명동 |명동교자(복제불가의 존맛!!),https://blog.naver.com/hansdaisy?Redirect=Log&logNo=222510576030," 명동교자분점 (1호점) 주소 서울 중구 명동길 10길 29 전화 02-776-5348 영업시간 매일 10:30~21:00 주차 불가명동교자 는 1966년 창업. 곧 환갑을 맞는 나이다. 동네마다 명동칼국수가 하나씩은 있기 마련인데, 모양은... ",소박한 밥상 화려한 식탁,https://blog.naver.com/hansdaisy,2021-09-20
 명동교자이영자칼국수 찐후기,https://blog.naver.com/speed1976?Redirect=Log&logNo=222394200799,그때가 제일로 맛있었던 것 같아요~^^ 방송의 위력인지 한산하던 명동에 “ 명동교자 ” 안에만 사람들이 북적북적~~ 테이블이 꽉 차 있더군요.. 마늘냄새 제거 껌부터 등장~~ 주문과 동시에 선불이라며 카드를... ,별사탕과 단추똥꼬,https://blog.naver.com/speed1976,2021-06-11
[명동 맛집]명동교자 ,https://blog.naver.com/alsdk1107?Redirect=Log&logNo=222405546074, 명동교자 는 고등학교 때 친구 따라간 이후로 명동 갈 때마다 들르는 최애 맛집!! https://m.blog.naver.com/alsdk1107/220321273251 혼자서도 몇 번 갔었음ㅋㅋㅋ 무려 6년 전 포스팅 자자 다시 2021년으로 돌아와서... ,화양연화,https://blog.naver.com/alsdk1107,2021-06-21
"[맛집]명동교자- 1966년 창업한 서울 명동 맛집, 칼국수... ",https://blog.naver.com/dbghkdtnr?Redirect=Log&logNo=222445157022,"1966년 창업해서 지금까지 서울 명동에서 장사를 하고 있는명동교자 . 메뉴는 교자(만두), 칼국수, 국수 세 가지다. 국수는 콩국수와 비빔국수가 있다. 꾸준히 한 우물을 파기보다는 이해득실에 따라 쉽게 생업을... ",별과 달 작은섬,https://blog.naver.com/dbghkdtnr,2021-07-25
명동의 명불허전 칼국수 맛집!명동교자본점,https://blog.naver.com/kagochu?Redirect=Log&logNo=222500425215,"1966년에 창업하여 50여년이 지난 지금도 많은 사람들의 사랑을 받아오고 있는명동교자 . 명동에 분점이 하나, 이태원에 직영점이 있습니다.명동교자 의 메뉴는 딱 깔끔하게 딱 4개 입니다. 칼국수, 비빔국수... ",그런말하지말라구구,https://blog.naver.com/kagochu,2021-09-09
[명동교자] 서울 칼국수의 대명사가 된 명동칼국수,https://blog.naver.com/honeyk0?Redirect=Log&logNo=222541848619,"칼국수의 대명사처럼 된 명동칼국수명동교자한 2~3년에 한 번씩은 들르게 되는 집 주문과 거의 동시에 (던져)주고 가시는 김치. 무시무시하게 시뻘건 이 겉저리 김치는, 씹을 때 아삭한 느낌 뒤에 고추와... ",인디안밥,https://blog.naver.com/honeyk0,2021-10-19
 명동교자(2),https://blog.naver.com/kwansyk?Redirect=Log&logNo=222427505895,손님이 몰리는 시간대를 피해려고 명동의 # 명동교자맛집을 일찍 찾았다. 개점 시간은 11시. 이미 손님들이 줄서있다. 마음이 조급해져 빠른 걸음으로 다가가 줄 뒤를 이었다. 우리 뒤로 계속 줄이 이어진다.... ,해외영업전문가 박관식님의 블로그,https://blog.naver.com/kwansyk,2021-07-11
[명동 맛집] 전설의명동교자 (본점),https://blog.naver.com/jiji375?Redirect=Log&logNo=222533433139,"이후 명동은 중국이라 해도 과언이 아닐 정도로 급격하게 상업적으로 변모하였고, 본의 아니게 발길을... 어쨌건 우리는명동교자본점을 찍고, 골목골목 기억을 되살리며 발걸음을 옮겼다. 거리에 약간의... ",WONDER GARDEN,https://blog.naver.com/jiji375,2021-10-11
